dateComponents,activeEnergyBurned,activeEnergyBurnedGoal,activeEnergyBurnedUnit,appleExerciseTime,appleExerciseTimeGoal,appleStandHours,appleStandHoursGoal
2023-01-01,622.496,500,"kcal","86","30",14,12
2023-01-02,648.818,500,"kcal","93","30",15,12
2023-01-03,611.877,500,"kcal","87","30",13,12
2023-01-04,628.445,500,"kcal","71","30",14,12
2023-01-05,635.676,500,"kcal","65","30",13,12
2023-01-06,613.859,500,"kcal","69","30",14,12
2023-01-07,521.706,500,"kcal","67","30",15,12
2023-01-08,615.329,500,"kcal","88","30",13,12
2023-01-09,789.097,500,"kcal","125","30",14,12
2023-01-10,705.249,500,"kcal","85","30",13,12
2023-01-11,684.163,500,"kcal","89","30",14,12
2023-01-12,586.802,500,"kcal","66","30",14,12
2023-01-13,607.699,500,"kcal","71","30",14,12
2023-01-14,792.609,500,"kcal","107","30",15,12
2023-01-15,548.41,500,"kcal","78","30",13,12
2023-01-16,583.174,500,"kcal","70","30",15,12
2023-01-17,812.148,500,"kcal","100","30",13,12
2023-01-18,640.205,500,"kcal","82","30",13,12
2023-01-19,724.146,500,"kcal","78","30",13,12
2023-01-20,576.057,500,"kcal","60","30",14,12
2023-01-21,771.617,500,"kcal","100","30",12,12
2023-01-22,599.857,500,"kcal","86","30",14,12
2023-01-23,539.533,500,"kcal","65","30",13,12
2023-01-24,710.602,500,"kcal","86","30",13,12
2023-01-25,511.602,500,"kcal","65","30",13,12
2023-01-26,794.3,500,"kcal","102","30",13,12
2023-01-27,636.04,500,"kcal","75","30",13,12
2023-01-28,798.524,500,"kcal","97","30",13,12
2023-01-29,911.938,500,"kcal","150","30",12,12
2023-01-30,597.207,500,"kcal","70","30",14,12
2023-01-31,680.73,500,"kcal","80","30",14,12
2023-02-01,702.742,500,"kcal","100","30",14,12
2023-02-02,676.438,500,"kcal","81","30",13,12
2023-02-03,814.907,500,"kcal","109","30",15,12
2023-02-04,654.037,500,"kcal","94","30",13,12
2023-02-05,765.647,500,"kcal","115","30",13,12
2023-02-06,582.439,500,"kcal","70","30",14,12
2023-02-07,733.933,500,"kcal","96","30",13,12
